topic,aspect,difference,delta,mean,mean_others,diff_mean,med,med_others,diff_med,websites,post_type
Camera,has_code,,,,,,,,,stackoverflow/gamedev_se,questions
Collisions,n_responses,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Collisions,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Collisions,is_answered,,,,,,,,,stackoverflow/gamedev_se,questions
Collisions,is_resolved,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Collisions,has_code,greater,small,0.6881016557566423,0.484375,-0.20372665575664228,1.0,0.0,-1.0,stackoverflow/gamedev_se,questions
Movement,n_responses,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Movement,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Movement,is_answered,,,,,,,,,stackoverflow/gamedev_se,questions
Movement,is_resolved,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Movement,has_code,greater,small,0.7911158117398202,0.5678842177808407,-0.2232315939589794,1.0,1.0,0.0,stackoverflow/gamedev_se,questions
Networking,n_responses,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Networking,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Networking,is_answered,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Networking,is_resolved,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Networking,has_code,greater,medium,0.5881561238223418,0.23949299533022014,-0.34866312849212167,1.0,0.0,-1.0,stackoverflow/gamedev_se,questions
3D modeling,n_responses,,,,,,,,,stackoverflow/gamedev_se,questions
3D modeling,len_text,,,,,,,,,stackoverflow/gamedev_se,questions
3D modeling,is_answered,,,,,,,,,stackoverflow/gamedev_se,questions
3D modeling,is_resolved,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
3D modeling,has_code,greater,small,0.40842105263157896,0.20112781954887218,-0.20729323308270678,0.0,0.0,0.0,stackoverflow/gamedev_se,questions
Event handling,n_responses,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Event handling,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Event handling,is_answered,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Event handling,is_resolved,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
Event handling,has_code,greater,small,0.6336760925449871,0.4100817438692098,-0.22359434867577732,1.0,0.0,-1.0,stackoverflow/gamedev_se,questions
User accounts,n_responses,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
User accounts,len_text,,,,,,,,,stackoverflow/gamedev_se,questions
User accounts,is_answered,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
User accounts,is_resolved,less,negligible,,,,,,,stackoverflow/gamedev_se,questions
User accounts,has_code,greater,medium,0.5608899297423887,0.21628498727735368,-0.34460494246503504,1.0,0.0,-1.0,stackoverflow/gamedev_se,questions
Viewport,is_accepted,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
Viewport,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Viewport,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
Android development,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Android development,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Android development,has_code,greater,small,0.45232273838630804,0.23952738990332975,-0.2127953484829783,0.0,0.0,0.0,stackoverflow/gamedev_se,answers
Object Oriented Programming,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Object Oriented Programming,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Object Oriented Programming,has_code,greater,small,0.596691018478728,0.35977190254017627,-0.2369191159385517,1.0,0.0,-1.0,stackoverflow/gamedev_se,answers
General programming,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
General programming,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
General programming,has_code,greater,small,0.6930369401765283,0.4291845493562232,-0.2638523908203051,1.0,0.0,-1.0,stackoverflow/gamedev_se,answers
Collisions,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Collisions,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Collisions,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
Geometry,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Geometry,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Geometry,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
Game objects,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Game objects,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Game objects,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
Display,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Display,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Display,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
3D modeling,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
3D modeling,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
3D modeling,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
User accounts,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
User accounts,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
User accounts,has_code,greater,small,0.3713733075435203,0.10623229461756374,-0.2651410129259566,0.0,0.0,0.0,stackoverflow/gamedev_se,answers
Game engines,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Game engines,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Game engines,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
Camera,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Camera,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Camera,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
Game environments,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Game environments,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Game environments,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
Publishing apps,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Publishing apps,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Publishing apps,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
File management,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
File management,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
File management,has_code,greater,small,0.42272727272727273,0.26691887347625054,-0.1558083992510222,0.0,0.0,0.0,stackoverflow/gamedev_se,answers
Networking,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Networking,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Networking,has_code,greater,small,0.34297108673978066,0.13233287858117326,-0.2106382081586074,0.0,0.0,0.0,stackoverflow/gamedev_se,answers
Sound/audio,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Sound/audio,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Sound/audio,has_code,greater,small,0.40552016985138006,0.18134034165571616,-0.2241798281956639,0.0,0.0,0.0,stackoverflow/gamedev_se,answers
GUI,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
GUI,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
GUI,has_code,greater,small,0.507361268403171,0.34801136363636365,-0.15934990476680733,1.0,0.0,-1.0,stackoverflow/gamedev_se,answers
Character animation,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Character animation,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Character animation,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
Runtime,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Runtime,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Runtime,has_code,greater,small,0.4410796576695194,0.22686567164179106,-0.21421398602772834,0.0,0.0,0.0,stackoverflow/gamedev_se,answers
Positioning,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Positioning,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Positioning,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
Rendering,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Rendering,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Rendering,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
Event handling,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Event handling,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Event handling,has_code,greater,negligible,,,,,,,stackoverflow/gamedev_se,answers
Movement,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Movement,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Movement,has_code,greater,small,0.5340659340659341,0.30346385542168675,-0.2306020786442473,1.0,0.0,-1.0,stackoverflow/gamedev_se,answers
Game mechanics,is_accepted,,,,,,,,,stackoverflow/gamedev_se,answers
Game mechanics,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,answers
Game mechanics,has_code,greater,small,0.5,0.17246273953158267,-0.32753726046841736,0.5,0.0,-0.5,stackoverflow/gamedev_se,answers
Object Oriented Programming,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Object Oriented Programming,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
General programming,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
General programming,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
GUI,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
GUI,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Networking,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Networking,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Game engines,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Game engines,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Game environments,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Game environments,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Movement,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Movement,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Positioning,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Positioning,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Game objects,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Game objects,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Geometry,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Geometry,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Rendering,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Rendering,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Android development,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Android development,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
User accounts,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
User accounts,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Viewport,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Viewport,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Event handling,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Event handling,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Sound/audio,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Sound/audio,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Publishing apps,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Publishing apps,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
3D modeling,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
3D modeling,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
File management,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
File management,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Runtime,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Runtime,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Collisions,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Collisions,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Display,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Display,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Camera,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Camera,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Character animation,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Character animation,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
Game mechanics,len_text,less,negligible,,,,,,,stackoverflow/gamedev_se,comments
Game mechanics,has_code,,,,,,,,,stackoverflow/gamedev_se,comments
