topic,aspect,difference,delta,mean,mean_others,diff_mean,med,med_others,diff_med,website,post_type
Networking,is_accepted,less,negligible,,,,,,,ue4,answers
Networking,len_text,greater,small,474.7967569968903,372.67579956502186,-102.12095743186842,321.0,253.0,-68.0,ue4,answers
Networking,has_code,,,,,,,,,ue4,answers
External tools,is_accepted,,,,,,,,,ue4,answers
External tools,len_text,,,,,,,,,ue4,answers
External tools,has_code,,,,,,,,,ue4,answers
Character animation,is_accepted,less,negligible,,,,,,,ue4,answers
Character animation,len_text,greater,small,431.1458736923673,373.652780441332,-57.49309325103525,316.0,253.0,-63.0,ue4,answers
Character animation,has_code,less,negligible,,,,,,,ue4,answers
General errors,is_accepted,,,,,,,,,ue4,answers
General errors,len_text,,,,,,,,,ue4,answers
General errors,has_code,greater,small,0.23434704830053668,0.07758417777670483,-0.15676287052383187,0.0,0.0,0.0,ue4,answers
FX,is_accepted,,,,,,,,,ue4,answers
FX,len_text,greater,small,452.35066079295154,374.90498207322815,-77.44567871972339,335.0,254.0,-81.0,ue4,answers
FX,has_code,,,,,,,,,ue4,answers
Collisions,is_accepted,less,negligible,,,,,,,ue4,answers
Collisions,len_text,greater,small,422.9733505821475,374.3042640416339,-48.66908654051355,330.0,253.0,-77.0,ue4,answers
Collisions,has_code,less,negligible,,,,,,,ue4,answers
3D modeling,is_accepted,less,negligible,,,,,,,ue4,answers
3D modeling,len_text,greater,negligible,,,,,,,ue4,answers
3D modeling,has_code,less,negligible,,,,,,,ue4,answers
Positioning,is_accepted,less,negligible,,,,,,,ue4,answers
Positioning,len_text,greater,small,414.2049150704734,374.77792882310627,-39.426986247367154,315.0,254.0,-61.0,ue4,answers
Positioning,has_code,,,,,,,,,ue4,answers
Programming errors,is_accepted,,,,,,,,,ue4,answers
Programming errors,len_text,less,negligible,,,,,,,ue4,answers
Programming errors,has_code,greater,small,0.297244094488189,0.07796705972904552,-0.21927703475914348,0.0,0.0,0.0,ue4,answers
General programming,is_accepted,,,,,,,,,ue4,answers
General programming,len_text,,,,,,,,,ue4,answers
General programming,has_code,greater,negligible,,,,,,,ue4,answers
Geometry,is_accepted,less,negligible,,,,,,,ue4,answers
Geometry,len_text,greater,negligible,,,,,,,ue4,answers
Geometry,has_code,,,,,,,,,ue4,answers
Game objects,len_text,greater,small,319.97707260342247,245.50863459324464,-74.46843801017783,234.0,171.0,-63.0,ue4,comments
Game objects,has_code,greater,negligible,,,,,,,ue4,comments
GUI,len_text,greater,small,296.8346148997857,245.6144266620629,-51.22018823772282,218.0,171.0,-47.0,ue4,comments
GUI,has_code,less,negligible,,,,,,,ue4,comments
Meshes,len_text,greater,negligible,,,,,,,ue4,comments
Meshes,has_code,less,negligible,,,,,,,ue4,comments
Bug reports,len_text,less,negligible,,,,,,,ue4,comments
Bug reports,has_code,less,negligible,,,,,,,ue4,comments
File management,len_text,greater,negligible,,,,,,,ue4,comments
File management,has_code,greater,negligible,,,,,,,ue4,comments
Programming errors,len_text,less,negligible,,,,,,,ue4,comments
Programming errors,has_code,greater,negligible,,,,,,,ue4,comments
Positioning,len_text,greater,small,314.9644646924829,245.87457804560427,-69.08988664687865,235.0,172.0,-63.0,ue4,comments
Positioning,has_code,,,,,,,,,ue4,comments
Networking,len_text,greater,small,305.6066990815775,245.22944165061472,-60.3772574309628,213.0,171.0,-42.0,ue4,comments
Networking,has_code,,,,,,,,,ue4,comments
Character animation,len_text,greater,small,320.98298716209166,244.79728236539273,-76.18570479669893,238.0,171.0,-67.0,ue4,comments
Character animation,has_code,less,negligible,,,,,,,ue4,comments
Rendering,len_text,less,negligible,,,,,,,ue4,comments
Rendering,has_code,less,negligible,,,,,,,ue4,comments
Game loop,len_text,less,negligible,,,,,,,ue4,comments
Game loop,has_code,,,,,,,,,ue4,comments
Event handling,len_text,greater,negligible,,,,,,,ue4,comments
Event handling,has_code,,,,,,,,,ue4,comments
Materials,len_text,greater,negligible,,,,,,,ue4,comments
Materials,has_code,less,negligible,,,,,,,ue4,comments
Game engines,len_text,greater,small,302.4187014220378,232.51452875687514,-69.90417266516269,228.0,158.0,-70.0,ue4,comments
Game engines,has_code,greater,negligible,,,,,,,ue4,comments
3D modeling,len_text,greater,small,309.7962312950305,245.76525254283717,-64.03097875219333,231.0,172.0,-59.0,ue4,comments
3D modeling,has_code,less,negligible,,,,,,,ue4,comments
Movement,len_text,greater,small,328.64658001837995,245.03223198584976,-83.61434803253019,239.0,171.0,-68.0,ue4,comments
Movement,has_code,,,,,,,,,ue4,comments
Object Oriented Programming,len_text,greater,small,303.6271638893383,244.8042683848636,-58.8228955044747,213.0,171.0,-42.0,ue4,comments
Object Oriented Programming,has_code,greater,negligible,,,,,,,ue4,comments
General errors,len_text,,,,,,,,,ue4,comments
General errors,has_code,greater,negligible,,,,,,,ue4,comments
Lighting,len_text,greater,small,369.56271873273164,244.9319083132996,-124.63081041943204,273.0,171.0,-102.0,ue4,comments
Lighting,has_code,less,negligible,,,,,,,ue4,comments
Runtime,len_text,greater,negligible,,,,,,,ue4,comments
Runtime,has_code,less,negligible,,,,,,,ue4,comments
FX,len_text,greater,negligible,,,,,,,ue4,comments
FX,has_code,,,,,,,,,ue4,comments
Camera and display,len_text,greater,negligible,,,,,,,ue4,comments
Camera and display,has_code,less,negligible,,,,,,,ue4,comments
Game mechanics,len_text,greater,negligible,,,,,,,ue4,comments
Game mechanics,has_code,less,negligible,,,,,,,ue4,comments
External tools,len_text,greater,negligible,,,,,,,ue4,comments
External tools,has_code,,,,,,,,,ue4,comments
Collisions,len_text,greater,small,352.9722181605498,244.77191332567622,-108.20030483487358,267.0,171.0,-96.0,ue4,comments
Collisions,has_code,less,negligible,,,,,,,ue4,comments
Geometry,len_text,,,,,,,,,ue4,comments
Geometry,has_code,,,,,,,,,ue4,comments
General programming,len_text,,,,,,,,,ue4,comments
General programming,has_code,greater,negligible,,,,,,,ue4,comments
Publishing apps,n_responses,less,negligible,,,,,,,stackoverflow,questions
Publishing apps,len_text,,,,,,,,,stackoverflow,questions
Publishing apps,is_answered,less,negligible,,,,,,,stackoverflow,questions
Publishing apps,is_resolved,less,negligible,,,,,,,stackoverflow,questions
Publishing apps,has_code,less,negligible,,,,,,,stackoverflow,questions
File management,n_responses,,,,,,,,,stackoverflow,questions
File management,len_text,less,negligible,,,,,,,stackoverflow,questions
File management,is_answered,,,,,,,,,stackoverflow,questions
File management,is_resolved,,,,,,,,,stackoverflow,questions
File management,has_code,less,negligible,,,,,,,stackoverflow,questions
Viewport,n_responses,less,negligible,,,,,,,stackoverflow,questions
Viewport,len_text,less,negligible,,,,,,,stackoverflow,questions
Viewport,is_answered,less,negligible,,,,,,,stackoverflow,questions
Viewport,is_resolved,less,negligible,,,,,,,stackoverflow,questions
Viewport,has_code,less,negligible,,,,,,,stackoverflow,questions
Runtime,n_responses,,,,,,,,,stackoverflow,questions
Runtime,len_text,,,,,,,,,stackoverflow,questions
Runtime,is_answered,less,negligible,,,,,,,stackoverflow,questions
Runtime,is_resolved,,,,,,,,,stackoverflow,questions
Runtime,has_code,,,,,,,,,stackoverflow,questions
Geometry,n_responses,,,,,,,,,stackoverflow,questions
Geometry,len_text,greater,negligible,,,,,,,stackoverflow,questions
Geometry,is_answered,,,,,,,,,stackoverflow,questions
Geometry,is_resolved,,,,,,,,,stackoverflow,questions
Geometry,has_code,less,negligible,,,,,,,stackoverflow,questions
General programming,n_responses,greater,small,6.071031746031746,4.607330264301581,-1.4637014817301655,5.0,3.0,-2.0,stackoverflow,questions
General programming,len_text,,,,,,,,,stackoverflow,questions
General programming,is_answered,greater,negligible,,,,,,,stackoverflow,questions
General programming,is_resolved,greater,negligible,,,,,,,stackoverflow,questions
General programming,has_code,greater,small,0.828968253968254,0.6621865241605769,-0.16678172980767714,1.0,1.0,0.0,stackoverflow,questions
Positioning,n_responses,,,,,,,,,stackoverflow,questions
Positioning,len_text,greater,negligible,,,,,,,stackoverflow,questions
Positioning,is_answered,greater,negligible,,,,,,,stackoverflow,questions
Positioning,is_resolved,greater,negligible,,,,,,,stackoverflow,questions
Positioning,has_code,greater,negligible,,,,,,,stackoverflow,questions
Rendering,n_responses,less,negligible,,,,,,,stackoverflow,questions
Rendering,len_text,,,,,,,,,stackoverflow,questions
Rendering,is_answered,less,negligible,,,,,,,stackoverflow,questions
Rendering,is_resolved,less,negligible,,,,,,,stackoverflow,questions
Rendering,has_code,less,negligible,,,,,,,stackoverflow,questions
Android development,n_responses,,,,,,,,,stackoverflow,questions
Android development,len_text,,,,,,,,,stackoverflow,questions
Android development,is_answered,,,,,,,,,stackoverflow,questions
Android development,is_resolved,,,,,,,,,stackoverflow,questions
Android development,has_code,less,negligible,,,,,,,stackoverflow,questions
Character animation,n_responses,less,negligible,,,,,,,stackoverflow,questions
Character animation,len_text,,,,,,,,,stackoverflow,questions
Character animation,is_answered,,,,,,,,,stackoverflow,questions
Character animation,is_resolved,,,,,,,,,stackoverflow,questions
Character animation,has_code,less,negligible,,,,,,,stackoverflow,questions
Game environments,n_responses,less,negligible,,,,,,,stackoverflow,questions
Game environments,len_text,less,negligible,,,,,,,stackoverflow,questions
Game environments,is_answered,,,,,,,,,stackoverflow,questions
Game environments,is_resolved,,,,,,,,,stackoverflow,questions
Game environments,has_code,less,negligible,,,,,,,stackoverflow,questions
Display,n_responses,less,negligible,,,,,,,stackoverflow,questions
Display,len_text,,,,,,,,,stackoverflow,questions
Display,is_answered,,,,,,,,,stackoverflow,questions
Display,is_resolved,,,,,,,,,stackoverflow,questions
Display,has_code,less,negligible,,,,,,,stackoverflow,questions
Game objects,n_responses,greater,small,5.505582137161085,4.449231725557994,-1.0563504116030904,4.0,3.0,-1.0,stackoverflow,questions
Game objects,len_text,,,,,,,,,stackoverflow,questions
Game objects,is_answered,greater,negligible,,,,,,,stackoverflow,questions
Game objects,is_resolved,greater,negligible,,,,,,,stackoverflow,questions
Game objects,has_code,greater,small,0.9103060682008051,0.6068882456924183,-0.3034178225083868,1.0,1.0,0.0,stackoverflow,questions
Game mechanics,n_responses,greater,negligible,,,,,,,stackoverflow,questions
Game mechanics,len_text,,,,,,,,,stackoverflow,questions
Game mechanics,is_answered,greater,negligible,,,,,,,stackoverflow,questions
Game mechanics,is_resolved,,,,,,,,,stackoverflow,questions
Game mechanics,has_code,greater,negligible,,,,,,,stackoverflow,questions
GUI,n_responses,,,,,,,,,stackoverflow,questions
GUI,len_text,less,negligible,,,,,,,stackoverflow,questions
GUI,is_answered,,,,,,,,,stackoverflow,questions
GUI,is_resolved,,,,,,,,,stackoverflow,questions
GUI,has_code,,,,,,,,,stackoverflow,questions
Object Oriented Programming,n_responses,greater,negligible,,,,,,,stackoverflow,questions
Object Oriented Programming,len_text,greater,negligible,,,,,,,stackoverflow,questions
Object Oriented Programming,is_answered,greater,negligible,,,,,,,stackoverflow,questions
Object Oriented Programming,is_resolved,greater,negligible,,,,,,,stackoverflow,questions
Object Oriented Programming,has_code,greater,negligible,,,,,,,stackoverflow,questions
Sound/audio,n_responses,,,,,,,,,stackoverflow,questions
Sound/audio,len_text,less,negligible,,,,,,,stackoverflow,questions
Sound/audio,is_answered,,,,,,,,,stackoverflow,questions
Sound/audio,is_resolved,,,,,,,,,stackoverflow,questions
Sound/audio,has_code,,,,,,,,,stackoverflow,questions
Game engines,n_responses,less,negligible,,,,,,,stackoverflow,questions
Game engines,len_text,less,negligible,,,,,,,stackoverflow,questions
Game engines,is_answered,less,negligible,,,,,,,stackoverflow,questions
Game engines,is_resolved,less,negligible,,,,,,,stackoverflow,questions
Game engines,has_code,less,negligible,,,,,,,stackoverflow,questions
Camera,n_responses,less,negligible,,,,,,,stackoverflow,questions
Camera,len_text,,,,,,,,,stackoverflow,questions
Camera,is_answered,,,,,,,,,stackoverflow,questions
Camera,is_resolved,,,,,,,,,stackoverflow,questions
Camera,has_code,less,negligible,,,,,,,stackoverflow,questions
Collisions,n_responses,,,,,,,,,stackoverflow,questions
Collisions,len_text,greater,negligible,,,,,,,stackoverflow,questions
Collisions,is_answered,greater,negligible,,,,,,,stackoverflow,questions
Collisions,is_resolved,,,,,,,,,stackoverflow,questions
Collisions,has_code,,,,,,,,,stackoverflow,questions
Movement,n_responses,,,,,,,,,stackoverflow,questions
Movement,len_text,,,,,,,,,stackoverflow,questions
Movement,is_answered,greater,negligible,,,,,,,stackoverflow,questions
Movement,is_resolved,,,,,,,,,stackoverflow,questions
Movement,has_code,greater,negligible,,,,,,,stackoverflow,questions
Networking,n_responses,less,negligible,,,,,,,stackoverflow,questions
Networking,len_text,greater,small,803.0383580080754,675.2273432552248,-127.81101475285061,654.0,545.0,-109.0,stackoverflow,questions
Networking,is_answered,less,negligible,,,,,,,stackoverflow,questions
Networking,is_resolved,less,negligible,,,,,,,stackoverflow,questions
Networking,has_code,less,negligible,,,,,,,stackoverflow,questions
3D modeling,n_responses,,,,,,,,,stackoverflow,questions
3D modeling,len_text,less,negligible,,,,,,,stackoverflow,questions
3D modeling,is_answered,,,,,,,,,stackoverflow,questions
3D modeling,is_resolved,,,,,,,,,stackoverflow,questions
3D modeling,has_code,less,negligible,,,,,,,stackoverflow,questions
Event handling,n_responses,,,,,,,,,stackoverflow,questions
Event handling,len_text,,,,,,,,,stackoverflow,questions
Event handling,is_answered,,,,,,,,,stackoverflow,questions
Event handling,is_resolved,,,,,,,,,stackoverflow,questions
Event handling,has_code,,,,,,,,,stackoverflow,questions
User accounts,n_responses,less,negligible,,,,,,,stackoverflow,questions
User accounts,len_text,,,,,,,,,stackoverflow,questions
User accounts,is_answered,,,,,,,,,stackoverflow,questions
User accounts,is_resolved,less,negligible,,,,,,,stackoverflow,questions
User accounts,has_code,less,negligible,,,,,,,stackoverflow,questions
Viewport,is_accepted,less,negligible,,,,,,,stackoverflow,answers
Viewport,len_text,,,,,,,,,stackoverflow,answers
Viewport,has_code,less,negligible,,,,,,,stackoverflow,answers
Android development,is_accepted,,,,,,,,,stackoverflow,answers
Android development,len_text,,,,,,,,,stackoverflow,answers
Android development,has_code,less,negligible,,,,,,,stackoverflow,answers
Object Oriented Programming,is_accepted,less,negligible,,,,,,,stackoverflow,answers
Object Oriented Programming,len_text,,,,,,,,,stackoverflow,answers
Object Oriented Programming,has_code,less,negligible,,,,,,,stackoverflow,answers
General programming,is_accepted,,,,,,,,,stackoverflow,answers
General programming,len_text,,,,,,,,,stackoverflow,answers
General programming,has_code,greater,negligible,,,,,,,stackoverflow,answers
Collisions,is_accepted,,,,,,,,,stackoverflow,answers
Collisions,len_text,greater,small,546.5668475579674,452.60010427528675,-93.96674328268068,397.0,319.0,-78.0,stackoverflow,answers
Collisions,has_code,less,negligible,,,,,,,stackoverflow,answers
Geometry,is_accepted,,,,,,,,,stackoverflow,answers
Geometry,len_text,greater,negligible,,,,,,,stackoverflow,answers
Geometry,has_code,less,negligible,,,,,,,stackoverflow,answers
Game objects,is_accepted,greater,negligible,,,,,,,stackoverflow,answers
Game objects,len_text,less,negligible,,,,,,,stackoverflow,answers
Game objects,has_code,greater,large,0.9181151161134065,0.44056815904891244,-0.477546957064494,1.0,0.0,-1.0,stackoverflow,answers
Display,is_accepted,,,,,,,,,stackoverflow,answers
Display,len_text,,,,,,,,,stackoverflow,answers
Display,has_code,less,negligible,,,,,,,stackoverflow,answers
3D modeling,is_accepted,,,,,,,,,stackoverflow,answers
3D modeling,len_text,,,,,,,,,stackoverflow,answers
3D modeling,has_code,less,negligible,,,,,,,stackoverflow,answers
User accounts,is_accepted,,,,,,,,,stackoverflow,answers
User accounts,len_text,,,,,,,,,stackoverflow,answers
User accounts,has_code,less,negligible,,,,,,,stackoverflow,answers
Game engines,is_accepted,less,negligible,,,,,,,stackoverflow,answers
Game engines,len_text,,,,,,,,,stackoverflow,answers
Game engines,has_code,less,negligible,,,,,,,stackoverflow,answers
Camera,is_accepted,,,,,,,,,stackoverflow,answers
Camera,len_text,,,,,,,,,stackoverflow,answers
Camera,has_code,less,negligible,,,,,,,stackoverflow,answers
Game environments,is_accepted,,,,,,,,,stackoverflow,answers
Game environments,len_text,,,,,,,,,stackoverflow,answers
Game environments,has_code,less,negligible,,,,,,,stackoverflow,answers
Publishing apps,is_accepted,,,,,,,,,stackoverflow,answers
Publishing apps,len_text,,,,,,,,,stackoverflow,answers
Publishing apps,has_code,less,negligible,,,,,,,stackoverflow,answers
File management,is_accepted,,,,,,,,,stackoverflow,answers
File management,len_text,,,,,,,,,stackoverflow,answers
File management,has_code,less,negligible,,,,,,,stackoverflow,answers
Networking,is_accepted,,,,,,,,,stackoverflow,answers
Networking,len_text,greater,small,609.0289132602194,453.0664536741214,-155.96245958609796,430.0,320.0,-110.0,stackoverflow,answers
Networking,has_code,less,negligible,,,,,,,stackoverflow,answers
Sound/audio,is_accepted,,,,,,,,,stackoverflow,answers
Sound/audio,len_text,,,,,,,,,stackoverflow,answers
Sound/audio,has_code,less,negligible,,,,,,,stackoverflow,answers
GUI,is_accepted,,,,,,,,,stackoverflow,answers
GUI,len_text,,,,,,,,,stackoverflow,answers
GUI,has_code,less,negligible,,,,,,,stackoverflow,answers
Character animation,is_accepted,,,,,,,,,stackoverflow,answers
Character animation,len_text,greater,negligible,,,,,,,stackoverflow,answers
Character animation,has_code,less,negligible,,,,,,,stackoverflow,answers
Runtime,is_accepted,,,,,,,,,stackoverflow,answers
Runtime,len_text,greater,negligible,,,,,,,stackoverflow,answers
Runtime,has_code,less,negligible,,,,,,,stackoverflow,answers
Positioning,is_accepted,,,,,,,,,stackoverflow,answers
Positioning,len_text,greater,negligible,,,,,,,stackoverflow,answers
Positioning,has_code,greater,negligible,,,,,,,stackoverflow,answers
Rendering,is_accepted,,,,,,,,,stackoverflow,answers
Rendering,len_text,greater,negligible,,,,,,,stackoverflow,answers
Rendering,has_code,less,negligible,,,,,,,stackoverflow,answers
Event handling,is_accepted,,,,,,,,,stackoverflow,answers
Event handling,len_text,,,,,,,,,stackoverflow,answers
Event handling,has_code,less,negligible,,,,,,,stackoverflow,answers
Movement,is_accepted,,,,,,,,,stackoverflow,answers
Movement,len_text,less,negligible,,,,,,,stackoverflow,answers
Movement,has_code,less,negligible,,,,,,,stackoverflow,answers
Game mechanics,is_accepted,,,,,,,,,stackoverflow,answers
Game mechanics,len_text,greater,negligible,,,,,,,stackoverflow,answers
Game mechanics,has_code,less,negligible,,,,,,,stackoverflow,answers
Object Oriented Programming,len_text,less,negligible,,,,,,,stackoverflow,comments
Object Oriented Programming,has_code,,,,,,,,,stackoverflow,comments
General programming,len_text,greater,negligible,,,,,,,stackoverflow,comments
General programming,has_code,,,,,,,,,stackoverflow,comments
GUI,len_text,greater,negligible,,,,,,,stackoverflow,comments
GUI,has_code,,,,,,,,,stackoverflow,comments
Networking,len_text,greater,negligible,,,,,,,stackoverflow,comments
Networking,has_code,,,,,,,,,stackoverflow,comments
Game engines,len_text,greater,negligible,,,,,,,stackoverflow,comments
Game engines,has_code,,,,,,,,,stackoverflow,comments
Game environments,len_text,greater,negligible,,,,,,,stackoverflow,comments
Game environments,has_code,,,,,,,,,stackoverflow,comments
Movement,len_text,less,negligible,,,,,,,stackoverflow,comments
Movement,has_code,,,,,,,,,stackoverflow,comments
Positioning,len_text,greater,small,199.10887279311905,159.3662575573521,-39.74261523576695,168.0,126.0,-42.0,stackoverflow,comments
Positioning,has_code,,,,,,,,,stackoverflow,comments
Game objects,len_text,greater,small,188.59024480199162,158.84717566127313,-29.74306914071849,158.0,125.0,-33.0,stackoverflow,comments
Game objects,has_code,greater,negligible,,,,,,,stackoverflow,comments
Geometry,len_text,greater,negligible,,,,,,,stackoverflow,comments
Geometry,has_code,,,,,,,,,stackoverflow,comments
Rendering,len_text,greater,small,187.53933852579297,160.63038877638516,-26.90894974940781,156.0,127.0,-29.0,stackoverflow,comments
Rendering,has_code,,,,,,,,,stackoverflow,comments
Android development,len_text,greater,negligible,,,,,,,stackoverflow,comments
Android development,has_code,,,,,,,,,stackoverflow,comments
User accounts,len_text,less,negligible,,,,,,,stackoverflow,comments
User accounts,has_code,,,,,,,,,stackoverflow,comments
Viewport,len_text,,,,,,,,,stackoverflow,comments
Viewport,has_code,,,,,,,,,stackoverflow,comments
Event handling,len_text,greater,negligible,,,,,,,stackoverflow,comments
Event handling,has_code,,,,,,,,,stackoverflow,comments
Sound/audio,len_text,,,,,,,,,stackoverflow,comments
Sound/audio,has_code,,,,,,,,,stackoverflow,comments
Publishing apps,len_text,greater,negligible,,,,,,,stackoverflow,comments
Publishing apps,has_code,,,,,,,,,stackoverflow,comments
3D modeling,len_text,,,,,,,,,stackoverflow,comments
3D modeling,has_code,,,,,,,,,stackoverflow,comments
File management,len_text,greater,negligible,,,,,,,stackoverflow,comments
File management,has_code,,,,,,,,,stackoverflow,comments
Runtime,len_text,greater,negligible,,,,,,,stackoverflow,comments
Runtime,has_code,,,,,,,,,stackoverflow,comments
Collisions,len_text,greater,small,207.0190735694823,160.55409557693864,-46.46497799254365,175.0,127.0,-48.0,stackoverflow,comments
Collisions,has_code,,,,,,,,,stackoverflow,comments
Display,len_text,greater,negligible,,,,,,,stackoverflow,comments
Display,has_code,,,,,,,,,stackoverflow,comments
Camera,len_text,greater,small,186.83121468926555,161.03491168682876,-25.796303002436787,157.0,127.0,-30.0,stackoverflow,comments
Camera,has_code,,,,,,,,,stackoverflow,comments
Character animation,len_text,greater,negligible,,,,,,,stackoverflow,comments
Character animation,has_code,,,,,,,,,stackoverflow,comments
Game mechanics,len_text,greater,small,193.29249667994688,161.25237340014837,-32.04012327979851,161.0,128.0,-33.0,stackoverflow,comments
Game mechanics,has_code,,,,,,,,,stackoverflow,comments
File management,n_responses,,,,,,,,,gamedev_se,questions
File management,len_text,less,negligible,,,,,,,gamedev_se,questions
File management,is_answered,,,,,,,,,gamedev_se,questions
File management,is_resolved,,,,,,,,,gamedev_se,questions
File management,has_code,less,negligible,,,,,,,gamedev_se,questions
Object Oriented Programming,n_responses,greater,negligible,,,,,,,gamedev_se,questions
Object Oriented Programming,len_text,greater,small,964.9639983058026,781.0942712563253,-183.86972704947732,761.0,636.0,-125.0,gamedev_se,questions
Object Oriented Programming,is_answered,greater,negligible,,,,,,,gamedev_se,questions
Object Oriented Programming,is_resolved,,,,,,,,,gamedev_se,questions
Object Oriented Programming,has_code,,,,,,,,,gamedev_se,questions
Sound/audio,n_responses,,,,,,,,,gamedev_se,questions
Sound/audio,len_text,less,negligible,,,,,,,gamedev_se,questions
Sound/audio,is_answered,,,,,,,,,gamedev_se,questions
Sound/audio,is_resolved,,,,,,,,,gamedev_se,questions
Sound/audio,has_code,less,negligible,,,,,,,gamedev_se,questions
Rendering,n_responses,less,negligible,,,,,,,gamedev_se,questions
Rendering,len_text,greater,negligible,,,,,,,gamedev_se,questions
Rendering,is_answered,less,negligible,,,,,,,gamedev_se,questions
Rendering,is_resolved,,,,,,,,,gamedev_se,questions
Rendering,has_code,,,,,,,,,gamedev_se,questions
Game objects,n_responses,less,negligible,,,,,,,gamedev_se,questions
Game objects,len_text,less,negligible,,,,,,,gamedev_se,questions
Game objects,is_answered,,,,,,,,,gamedev_se,questions
Game objects,is_resolved,,,,,,,,,gamedev_se,questions
Game objects,has_code,greater,medium,0.8600749950661141,0.41983890543969987,-0.4402360896264142,1.0,0.0,-1.0,gamedev_se,questions
Geometry,n_responses,,,,,,,,,gamedev_se,questions
Geometry,len_text,,,,,,,,,gamedev_se,questions
Geometry,is_answered,,,,,,,,,gamedev_se,questions
Geometry,is_resolved,,,,,,,,,gamedev_se,questions
Geometry,has_code,less,negligible,,,,,,,gamedev_se,questions
Viewport,n_responses,greater,negligible,,,,,,,gamedev_se,questions
Viewport,len_text,less,negligible,,,,,,,gamedev_se,questions
Viewport,is_answered,,,,,,,,,gamedev_se,questions
Viewport,is_resolved,,,,,,,,,gamedev_se,questions
Viewport,has_code,less,negligible,,,,,,,gamedev_se,questions
3D modeling,n_responses,,,,,,,,,gamedev_se,questions
3D modeling,len_text,less,negligible,,,,,,,gamedev_se,questions
3D modeling,is_answered,,,,,,,,,gamedev_se,questions
3D modeling,is_resolved,,,,,,,,,gamedev_se,questions
3D modeling,has_code,less,negligible,,,,,,,gamedev_se,questions
Game environments,n_responses,,,,,,,,,gamedev_se,questions
Game environments,len_text,less,negligible,,,,,,,gamedev_se,questions
Game environments,is_answered,,,,,,,,,gamedev_se,questions
Game environments,is_resolved,,,,,,,,,gamedev_se,questions
Game environments,has_code,less,negligible,,,,,,,gamedev_se,questions
Character animation,n_responses,,,,,,,,,gamedev_se,questions
Character animation,len_text,,,,,,,,,gamedev_se,questions
Character animation,is_answered,less,negligible,,,,,,,gamedev_se,questions
Character animation,is_resolved,,,,,,,,,gamedev_se,questions
Character animation,has_code,less,negligible,,,,,,,gamedev_se,questions
Game engines,n_responses,less,negligible,,,,,,,gamedev_se,questions
Game engines,len_text,less,negligible,,,,,,,gamedev_se,questions
Game engines,is_answered,less,negligible,,,,,,,gamedev_se,questions
Game engines,is_resolved,less,negligible,,,,,,,gamedev_se,questions
Game engines,has_code,less,negligible,,,,,,,gamedev_se,questions
Publishing apps,n_responses,greater,negligible,,,,,,,gamedev_se,questions
Publishing apps,len_text,less,negligible,,,,,,,gamedev_se,questions
Publishing apps,is_answered,,,,,,,,,gamedev_se,questions
Publishing apps,is_resolved,,,,,,,,,gamedev_se,questions
Publishing apps,has_code,less,negligible,,,,,,,gamedev_se,questions
Event handling,n_responses,,,,,,,,,gamedev_se,questions
Event handling,len_text,,,,,,,,,gamedev_se,questions
Event handling,is_answered,,,,,,,,,gamedev_se,questions
Event handling,is_resolved,,,,,,,,,gamedev_se,questions
Event handling,has_code,,,,,,,,,gamedev_se,questions
Android development,n_responses,,,,,,,,,gamedev_se,questions
Android development,len_text,less,negligible,,,,,,,gamedev_se,questions
Android development,is_answered,,,,,,,,,gamedev_se,questions
Android development,is_resolved,,,,,,,,,gamedev_se,questions
Android development,has_code,less,negligible,,,,,,,gamedev_se,questions
Runtime,n_responses,,,,,,,,,gamedev_se,questions
Runtime,len_text,,,,,,,,,gamedev_se,questions
Runtime,is_answered,,,,,,,,,gamedev_se,questions
Runtime,is_resolved,,,,,,,,,gamedev_se,questions
Runtime,has_code,less,negligible,,,,,,,gamedev_se,questions
User accounts,n_responses,,,,,,,,,gamedev_se,questions
User accounts,len_text,,,,,,,,,gamedev_se,questions
User accounts,is_answered,,,,,,,,,gamedev_se,questions
User accounts,is_resolved,,,,,,,,,gamedev_se,questions
User accounts,has_code,less,negligible,,,,,,,gamedev_se,questions
Positioning,n_responses,,,,,,,,,gamedev_se,questions
Positioning,len_text,greater,negligible,,,,,,,gamedev_se,questions
Positioning,is_answered,,,,,,,,,gamedev_se,questions
Positioning,is_resolved,,,,,,,,,gamedev_se,questions
Positioning,has_code,greater,small,0.6328042328042328,0.45043131196086006,-0.18237292084337275,1.0,0.0,-1.0,gamedev_se,questions
Game mechanics,n_responses,greater,negligible,,,,,,,gamedev_se,questions
Game mechanics,len_text,greater,negligible,,,,,,,gamedev_se,questions
Game mechanics,is_answered,greater,negligible,,,,,,,gamedev_se,questions
Game mechanics,is_resolved,,,,,,,,,gamedev_se,questions
Game mechanics,has_code,less,negligible,,,,,,,gamedev_se,questions
Networking,n_responses,,,,,,,,,gamedev_se,questions
Networking,len_text,greater,small,985.6364242828553,783.7026982795655,-201.93372600328973,828.0,636.0,-192.0,gamedev_se,questions
Networking,is_answered,,,,,,,,,gamedev_se,questions
Networking,is_resolved,,,,,,,,,gamedev_se,questions
Networking,has_code,less,negligible,,,,,,,gamedev_se,questions
Collisions,n_responses,,,,,,,,,gamedev_se,questions
Collisions,len_text,,,,,,,,,gamedev_se,questions
Collisions,is_answered,,,,,,,,,gamedev_se,questions
